,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,10.620156406343348
5,logXiH,8.922837274240727
6,XiE,3.6940028811118126
7,XiH,2.4208565127909156
8,kappa,0.07665027432498807
9,q,0.019995723736953627
10,sigmaK,0.0
11,sigmaZ,0.0
12,sigmaVtilde,0.0
13,muK,0.005373234090471684
14,muZ,0.0
15,muVtilde,0.0
16,chi,3.7202091665361774
17,sigmaW,0.22983459979633758
18,sigmaQ,1.0877151737567738
19,sigmaR,1.0877151737567738
20,deltaE,1.8286146477965408
21,deltaH,0.365450975783612
22,PiH,49.97422293191473
23,PiE,14.485793690694818
24,betaE,8.015075729401348
25,betaH,0.07756112346931164
26,muW,1.1578857937373024
27,muQ,46.0835276012376
28,r,45.62276023384602
29,dent,0.0005251461727144492
30,Fe,65.99850827130763
31,firstCoefsE,1.2465642812622924
32,secondCoefsE,0.0043391079638093
33,Fh,55.54817490671977
34,firstCoefsH,0.3405837114244684
35,secondCoefsH,0.0043391079638093015
36,HJB_E,6.39311016047406
37,HJB_H,9.615760502690849
38,kappa_min,0.013800553733102846
